Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.66798388882503,2.21576713087359,2.1458350552646,3.49288002962309,3.76192435190464,3.18952292988787,1.31698749571339,1.48436877605324,1.14156504542775,2.56525534067859,2.32036514266782,3.26933601506059,3.77522468729185,1.45330562142114,-3.58626472551299,1.80898243043663,2.92746800169145,0.628246239479637,-0.250726423318454,0.755798850316665,1.30352331826198,2.11721964494312,2.27224992038207,2.48422114080024,1.75497619649288,-6.31825509209936,4.92309171717903,5.33096379400371,-0.786244288594673,-0.659089573171372,0.615747280959056
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.51091305108029,2.07784870159793,2.03015241563726,3.3793812628262,3.56023814714031,2.94168464206538,0.929888060915275,0.986311683800295,0.650068295894712,1.93089688878541,1.62565909591297,2.75962370061296,3.43938549159965,1.13621131218787,-3.83849307623562,1.56453337880819,2.5811033185299,0.170488694211613,-0.836906795346636,-0.0285805465757676,0.174259722821304,1.01887723192984,1.56430689663536,1.98626296400239,1.30350317565873,-6.70639361073974,4.4669658436443,4.32849751156559,-1.76308859891033,-1.15937778694629,0.285965556994498
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.24336631500898,1.86097115760437,1.30597857227691,0.922467196680849,0.568993765885531,2.34486285357281,2.65000077279529,1.81035787764129,1.35555370896445,2.0612061803287,2.29913785639286,1.44154851119017,2.16855528800757,3.2159503323988,0.506308827696504,1.81353438995062,3.2865791487538,2.48567562177015,2.00015616900597,1.60581182954474,0.89656333526032,0.891591752655362,2.08126911385587,1.99837981429549,1.53089564152644,1.38191063351854,2.7666666666667,8.54686993188458,7.81413417002831,2.93791574279376,3.52719439956928
Austria,AUT,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.6814352868846,25.9792394170832,25.5410735111136,25.5828501885423,25.0791471023159,25.706049968312,24.9279130602684,23.6230774906842,24.1941212310447,23.7682466626674,23.2345864227667,22.8306808001519,23.1393973500284,23.5337970115719,22.6637107958545,21.8611554230227,22.7073592505649,22.9527434287837,23.3121101516353,22.9671788352856,22.8959621968365,23.3219102437796,23.8459451205616,24.3135937640992,25.0801117201002,25.134256704245,25.8646541570211,25.2127203813994,24.6875584181551,23.5479112127244,23.5267100229664
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.345,5.282,5.15,5.483,4.699,4.687,4.007,4.852,4.779,5.969,5.682,5.32,4.909,4.198,5.371,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459,4.992,5.264,5.2,5.582
Austria,AUT,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,33.6650009227647,34.4377355805807,37.2144335874111,38.5615906228388,39.5093125883092,43.591091462861,44.8518101806208,45.6510533943756,44.8257225915126,47.2191991038628,48.9511516701756,51.2031559330564,52.8904832388178,53.5983913417575,45.4869106822459,51.5839821122491,54.2920768831722,54.325492441456,53.8898209853854,53.8561570961341,53.3960122723239,52.6634020833052,54.3260296753968,55.7022394735073,55.8958073929339,51.6630899700616,55.9539450675875,61.4273121186873,58.4867595713944,55.6782850851641,54.7019473752362
Austria,AUT,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,34.8600048302325,36.0315807177005,38.0300424431444,38.787931037573,39.0536203889869,42.2515162707939,43.1444465379839,41.9334403110863,42.0565037313482,44.2550210841381,45.7236031126049,47.5825693830677,48.4744751966427,49.1453130195427,42.1135824199495,48.0609004424225,51.4830214892056,51.5152989482497,51.0955530299819,50.6405828931259,49.7215694739361,48.910092513867,51.2300370800408,52.6757304983207,52.3114775114917,48.2851241395359,55.0789870565772,62.1522665342146,56.6661552513376,53.1474927492406,52.3178918904941
Austria,AUT,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.760156006172297,1.83236524365315,1.26058669809025,2.1061851136777,1.37439937408037,4.33323688730786,2.89572243102078,0.0650010498093938,2.37557550248335,1.0640170021225,25.8307026071969,3.14473468828869,17.8058113461032,1.46799597032563,3.58137196898673,-5.64539670207833,5.35812778038962,1.2830027920872,-0.302633479129545,0.389557041234778,-1.80409511056007,-7.23989904197038,3.38180275607348,-6.15119207172195,-2.85255617561831,-2.76332070661681,3.95409878611296,3.0221599256451,0.566112370322707,2.55351579610657,-2.01581463662181
Austria,AUT,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,19.9136754254981,19.9199775990025,19.9074840934066,19.8805896009437,20.1321065204172,19.5314707769617,19.2543106270972,19.0915242404323,19.1994923160856,19.1435006201648,19.578956279012,19.5236882601217,18.9952201499781,19.5504763856736,20.8429660876862,20.7014308958778,20.1261020626005,20.1127296077276,20.2246904822814,20.1541074285657,20.128570640961,19.9765754686425,19.7920045735021,19.6244810717199,19.7190068292236,21.3096203136955,21.8158646754257,20.5357118895674,20.5750006645567,21.5978374083965,21.9087193894571
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.153106260702748,0.135019833748789,0.113316608322994,0.109728368100981,0.194563153264961,0.240466652446524,0.382799394483217,0.49198046425522,0.487133894826838,0.620413127334181,0.681267248299787,0.494797775098466,0.324146535285463,0.313041437661508,0.261953189906348,0.240394299500766,0.337080841831645,0.45593747231891,0.589387254692989,0.781541632525841,1.12099250236958,1.08139629872802,0.694621103604983,0.487071924768999,0.444673639004876,0.415176731565556,0.435671684056384,0.956287797076634,0.989464653969154,0.504879813795986,0.328301850203979
